Wavelength,Intensity
380,0.053973000496626
381,0.036570001393557
382,0.024380000308156
383,0.03974400088191
384,0.044723000377417
385,0.047329999506474
386,0.049035001546144
387,0.050404001027346
388,0.053683999925852
389,0.04907999932766
390,0.040580000728369
391,0.033365998417139
392,0.033020000904799
393,0.035622000694275
394,0.03770099952817
395,0.032457001507282
396,0.029469000175595
397,0.026568999513984
398,0.023555999621749
399,0.02093599922955
400,0.019121000543237
401,0.018727999180555
402,0.020042000338435
403,0.022851999849081
404,0.026723999530077
405,0.031695999205112
406,0.037406999617815
407,0.043292999267578
408,0.048376999795437
409,0.05256099998951
410,0.055783998221159
411,0.057750001549721
412,0.058497998863459
413,0.058106999844313
414,0.057181999087334
415,0.056501001119614
416,0.05587600171566
417,0.054825000464916
418,0.053467001765966
419,0.052269000560045
420,0.051538001745939
421,0.051086999475956
422,0.050900001078844
423,0.051146999001503
424,0.051848001778126
425,0.053405001759529
426,0.055996000766754
427,0.059124000370502
428,0.061882998794317
429,0.063911996781826
430,0.064809001982212
431,0.064653001725674
432,0.06351999938488
433,0.061147000640631
434,0.057544000446796
435,0.053458001464605
436,0.049522999674082
437,0.046199001371861
438,0.043947998434305
439,0.042856000363827
440,0.042677000164986
441,0.043327998369932
442,0.044757001101971
443,0.046530999243259
444,0.048071999102831
445,0.048863001167774
446,0.048562001436949
447,0.047113001346588
448,0.044929999858141
449,0.042242001742125
450,0.038972999900579
451,0.034928999841213
452,0.030285000801086
453,0.026078000664711
454,0.023132000118494
455,0.0221629999578
456,0.023153999820352
457,0.025914000347257
458,0.030519999563694
459,0.036738999187946
460,0.043570000678301
461,0.050645001232624
462,0.057601001113653
463,0.063735999166965
464,0.068820998072624
465,0.0730260014534
466,0.076352998614311
467,0.078896000981331
468,0.079975999891758
469,0.078786998987198
470,0.076214998960495
471,0.0728619992733
472,0.068754002451897
473,0.063993997871876
474,0.058860000222921
475,0.053816001862288
476,0.049566999077797
477,0.046588998287916
478,0.045207999646664
479,0.045566000044346
480,0.047182999551296
481,0.049632001668215
482,0.052423998713493
483,0.055233001708984
484,0.057689998298883
485,0.059817001223564
486,0.061491001397371
487,0.06300800293684
488,0.064714998006821
489,0.066844001412392
490,0.069320999085903
491,0.071691997349262
492,0.073142997920513
493,0.073843002319336
494,0.074345000088215
495,0.074234999716282
496,0.07345200330019
497,0.072470001876354
498,0.071727000176907
499,0.071227997541428
500,0.070796996355057
501,0.070035003125668
502,0.069444999098778
503,0.069709002971649
504,0.070308998227119
505,0.070626996457577
506,0.070698000490665
507,0.070804998278618
508,0.071350000798702
509,0.07252299785614
510,0.074180997908115
511,0.076038002967834
512,0.077845998108387
513,0.079645000398159
514,0.081124998629093
515,0.081818997859955
516,0.081197999417782
517,0.078828997910023
518,0.074996002018452
519,0.070514000952244
520,0.0660630017519
521,0.062107998877764
522,0.058924999088049
523,0.056720998138189
524,0.055985998362303
525,0.057314001023769
526,0.060793001204729
527,0.065626002848148
528,0.070841997861862
529,0.076457001268864
530,0.082947999238968
531,0.090347997844219
532,0.098430000245571
533,0.10689000040293
534,0.11570999771357
535,0.12484999746084
536,0.13416999578476
537,0.1430300027132
538,0.15071000158787
539,0.15688000619411
540,0.1611399948597
541,0.16344000399113
542,0.16394999623299
543,0.16258999705315
544,0.15979999303818
545,0.15606999397278
546,0.15162999927998
547,0.146380007267
548,0.14018000662327
549,0.13400000333786
550,0.12782999873161
551,0.1210599988699
552,0.11396999657154
553,0.10693000257015
554,0.10073000192642
555,0.09604699909687
556,0.092725001275539
557,0.090819999575615
558,0.090342998504639
559,0.090746998786926
560,0.091569997370243
561,0.092854000627995
562,0.094902999699116
563,0.097577996551991
564,0.10075999796391
565,0.1049399971962
566,0.1093999966979
567,0.11360999941826
568,0.11271999776363
569,0.10419999808073
570,0.088584996759892
571,0.068893000483513
572,0.050239000469446
573,0.043806001543999
574,0.060304999351501
575,0.11980000138283
576,0.23451000452042
577,0.40562999248505
578,0.63376998901367
579,0.917760014534
580,1.2503000497818
581,1.6220999956131
582,2.0181999206543
583,2.4300999641418
584,2.860100030899
585,3.3029999732971
586,3.7490000724792
587,4.1838002204895
588,4.5921998023987
589,4.9545001983643
590,5.2469000816345
591,5.4432997703552
592,5.5279002189636
593,5.5
594,5.3775000572205
595,5.1840000152588
596,4.9471998214722
597,4.7032999992371
598,4.4925999641418
599,4.3636999130249
600,4.3477997779846
601,4.456699848175
602,4.7042999267578
603,5.1082000732422
604,5.6771998405457
605,6.4134998321533
606,7.2926001548767
607,8.2883996963501
608,9.3548002243042
609,10.432999610901
610,11.458000183105
611,12.373000144958
612,13.126000404358
613,13.673999786377
614,13.986000061035
615,14.055999755859
616,13.901000022888
617,13.555000305176
618,13.057000160217
619,12.442000389099
620,11.743000030518
621,10.998999595642
622,10.24199962616
623,9.5209999084473
624,8.9003000259399
625,8.4366998672485
626,8.2002000808716
627,8.2923002243042
628,8.7864999771118
629,9.7821998596191
630,11.291000366211
631,13.243000030518
632,15.515000343323
633,17.95299911499
634,20.388000488281
635,22.67200088501
636,24.650999069214
637,26.224000930786
638,27.353000640869
639,28.062999725342
640,28.416000366211
641,28.45299911499
642,28.194999694824
643,27.641000747681
644,26.79700088501
645,25.67200088501
646,24.288000106812
647,22.688999176025
648,20.954000473022
649,19.174999237061
650,17.448999404907
651,15.894000053406
652,14.590999603271
653,13.595999717712
654,12.843999862671
655,12.255999565125
656,11.760999679565
657,11.321000099182
658,10.899000167847
659,10.47500038147
660,10.043999671936
661,9.6733999252319
662,9.4242000579834
663,9.3352003097534
664,9.4024000167847
665,9.5738000869751
666,9.799599647522
667,10.022000312805
668,10.187000274658
669,10.24199962616
670,10.14999961853
671,9.8910999298096
672,9.4770002365112
673,8.9091997146606
674,8.1895999908447
675,7.3306999206543
676,6.3663001060486
677,5.3432998657227
678,4.3178000450134
679,3.3550999164581
680,2.5283999443054
681,1.9071999788284
682,1.540099978447
683,1.4283000230789
684,1.533499956131
685,1.796599984169
686,2.1401998996735
687,2.5381999015808
688,2.9772999286652
689,3.4551000595093
690,3.9993000030518
691,4.682400226593
692,5.5773000717163
693,6.7522001266479
694,8.1716995239258
695,9.7628002166748
696,11.4390001297
697,13.107000350952
698,14.654000282288
699,15.984000205994
700,17.018999099731
701,17.732000350952
702,18.127000808716
703,18.216999053955
704,18.028999328613
705,17.569999694824
706,16.841999053955
707,15.817999839783
708,14.5
709,12.942999839783
710,11.232000350952
711,9.477499961853
712,7.8088002204895
713,6.3571000099182
714,5.271399974823
715,4.6554999351501
716,4.5089998245239
717,4.7705998420715
718,5.310200214386
719,6.0159001350403
720,6.7783999443054
721,7.4890999794006
