Wavelength,Intensity
380,0.012962999753654
381,0.010435000061989
382,0.0095940995961428
383,0.015898000448942
384,0.014217999763787
385,0.013686000369489
386,0.014026000164449
387,0.014445999637246
388,0.013856000266969
389,0.011411000043154
390,0.012388000264764
391,0.014644999988377
392,0.016457000747323
393,0.017456000670791
394,0.017855999991298
395,0.017757000401616
396,0.018439000472426
397,0.01898399926722
398,0.019526999443769
399,0.020069999620318
400,0.020527999848127
401,0.020738000050187
402,0.020611999556422
403,0.020385000854731
404,0.019935000687838
405,0.019162999466062
406,0.018205000087619
407,0.017162000760436
408,0.016125999391079
409,0.014952999539673
410,0.01354300044477
411,0.012153999879956
412,0.010836999863386
413,0.0094517003744841
414,0.0082778995856643
415,0.0076723000966012
416,0.0082462998107076
417,0.0105090001598
418,0.014632999897003
419,0.020899999886751
420,0.029509000480175
421,0.040564998984337
422,0.053775001317263
423,0.068428002297878
424,0.083988003432751
425,0.1000500023365
426,0.1160300001502
427,0.13120000064373
428,0.14440999925137
429,0.15503999590874
430,0.16291999816895
431,0.16774000227451
432,0.16932000219822
433,0.16763000190258
434,0.16301999986172
435,0.15610000491142
436,0.14729000627995
437,0.13723999261856
438,0.12690000236034
439,0.11685000360012
440,0.10761000216007
441,0.099504999816418
442,0.092684999108315
443,0.087360002100468
444,0.083494998514652
445,0.080785997211933
446,0.078878000378609
447,0.07745099812746
448,0.076270997524261
449,0.075015999376774
450,0.073209002614021
451,0.070522002875805
452,0.066673003137112
453,0.061880998313427
454,0.0563879981637
455,0.050390999764204
456,0.044312000274658
457,0.038646999746561
458,0.03362400084734
459,0.029397999867797
460,0.02602900005877
461,0.023498000577092
462,0.021709000691772
463,0.020531000569463
464,0.019793000072241
465,0.019349999725819
466,0.019054999575019
467,0.018747000023723
468,0.018412999808788
469,0.018031999468803
470,0.017533000558615
471,0.016885999590158
472,0.016152000054717
473,0.015386999584734
474,0.014666000381112
475,0.014050000347197
476,0.013580000028014
477,0.013299999758601
478,0.013271000236273
479,0.013551999814808
480,0.014166000299156
481,0.015080000273883
482,0.016131000593305
483,0.017299000173807
484,0.018595999106765
485,0.01991100050509
486,0.021118000149727
487,0.022152999415994
488,0.022981999441981
489,0.023670999333262
490,0.024120999500155
491,0.024203000590205
492,0.023925000801682
493,0.023315999656916
494,0.022429000586271
495,0.021352000534534
496,0.020108999684453
497,0.018747000023723
498,0.01741199940443
499,0.016183000057936
500,0.01509299967438
501,0.014147000387311
502,0.013368999585509
503,0.012784999795258
504,0.012419999577105
505,0.012237999588251
506,0.012214000336826
507,0.012350000441074
508,0.012605000287294
509,0.01290600001812
510,0.013229000382125
511,0.013512999750674
512,0.013779000379145
513,0.014128999784589
514,0.014445999637246
515,0.014634000137448
516,0.01475299987942
517,0.014836000278592
518,0.014936000108719
519,0.015058999881148
520,0.015170999802649
521,0.015332999639213
522,0.015549000352621
523,0.015687000006437
524,0.015659000724554
525,0.015440000221133
526,0.015029000118375
527,0.014405000023544
528,0.01367300003767
529,0.013005999848247
530,0.012431000359356
531,0.011997999623418
532,0.011858999729156
533,0.012103999964893
534,0.012738999910653
535,0.013681000098586
536,0.01496300008148
537,0.01668700017035
538,0.018572000786662
539,0.020191000774503
540,0.021166000515223
541,0.021243000403047
542,0.020872000604868
543,0.02051099948585
544,0.020733000710607
545,0.022562000900507
546,0.027210999280214
547,0.035897001624107
548,0.049481999129057
549,0.067451998591423
550,0.08899100124836
551,0.11302000284195
552,0.13827000558376
553,0.16322000324726
554,0.1861799955368
555,0.20588000118732
556,0.22171999514103
557,0.23322999477386
558,0.24009999632835
559,0.24205000698566
560,0.23891000449657
561,0.23071999847889
562,0.217380002141
563,0.19907000660896
564,0.17649999260902
565,0.15093000233173
566,0.12404000014067
567,0.097327999770641
568,0.072167001664639
569,0.049977000802755
570,0.031559001654387
571,0.017439000308514
572,0.0074729998596013
573,0.0010634999489412
574,-0.0017983999568969
575,-0.00099721003789455
576,0.0038542998954654
577,0.013966999948025
578,0.029417999088764
579,0.049885999411345
580,0.074712000787258
581,0.10267999768257
582,0.13237999379635
583,0.16208000481129
584,0.18966999650002
585,0.21383999288082
586,0.23370000720024
587,0.24869999289513
588,0.25856998562813
589,0.26313000917435
590,0.26216998696327
591,0.25543001294136
592,0.24284000694752
593,0.22479000687599
594,0.2020899951458
595,0.17603999376297
596,0.14812000095844
597,0.11997999995947
598,0.093420997262001
599,0.07039400190115
600,0.052494999021292
601,0.040481999516487
602,0.033387001603842
603,0.030399000272155
604,0.030510999262333
605,0.032657999545336
606,0.035684000700712
607,0.038483001291752
608,0.040415998548269
609,0.041848000138998
610,0.042879000306129
611,0.043593998998404
612,0.044064000248909
613,0.044257000088692
614,0.04407500103116
615,0.04347800090909
616,0.042493000626564
617,0.041117001324892
618,0.03939900174737
619,0.037441998720169
620,0.035298001021147
621,0.033084001392126
622,0.030936999246478
623,0.028965000063181
624,0.027177000418305
625,0.025580000132322
626,0.024255000054836
627,0.023252999410033
628,0.022399999201298
629,0.021683000028133
630,0.021231999620795
631,0.021239999681711
632,0.021765999495983
633,0.022638000547886
634,0.023976000025868
635,0.026086999103427
636,0.0288309995085
637,0.031899001449347
638,0.034961000084877
639,0.037881001830101
640,0.040665000677109
641,0.043191999197006
642,0.045329000800848
643,0.047010000795126
644,0.048161000013351
645,0.048836998641491
646,0.049077998846769
647,0.048863001167774
648,0.048114001750946
649,0.046815998852253
650,0.045067001134157
651,0.043005999177694
652,0.040695000439882
653,0.038293000310659
654,0.035987000912428
655,0.03388400003314
656,0.031961001455784
657,0.030231000855565
658,0.02887300029397
659,0.027954999357462
660,0.027194999158382
661,0.02641399949789
662,0.02547699958086
663,0.024429999291897
664,0.023360999301076
665,0.022196000441909
666,0.020963000133634
667,0.01978800073266
668,0.018712000921369
669,0.017790999263525
670,0.01698400080204
671,0.016234999522567
672,0.015471000224352
673,0.014659999869764
674,0.013841000385582
675,0.013067999854684
676,0.012388999573886
677,0.011927000246942
678,0.011831000447273
679,0.01216800045222
680,0.012845000252128
681,0.013806000351906
682,0.015205999836326
683,0.017138000577688
684,0.019383000209928
685,0.021645000204444
686,0.023719999939203
687,0.02564400061965
688,0.027484999969602
689,0.02908300049603
690,0.030290000140667
691,0.031058000400662
692,0.03141799941659
693,0.031463000923395
694,0.031216999515891
695,0.030671000480652
696,0.029704999178648
697,0.028279999271035
698,0.02653899975121
699,0.02462900057435
700,0.022595999762416
701,0.020538000389934
702,0.018610000610352
703,0.016930999234319
704,0.015541000291705
705,0.014584000222385
706,0.014196000061929
707,0.014383000321686
708,0.01505499985069
709,0.016063999384642
710,0.017416000366211
711,0.019225999712944
712,0.02135399915278
713,0.023638999089599
714,0.026285000145435
715,0.0294209998101
716,0.033048998564482
717,0.037053998559713
718,0.041196998208761
719,0.045315001159906
720,0.049231998622417
721,0.052643001079559
722,0.055355001240969
723,0.057335998862982
724,0.05859199911356
725,0.059108000248671
726,0.058942001312971
727,0.058233998715878
728,0.056963998824358
729,0.055087000131607
730,0.052710000425577
731,0.050032000988722
732,0.04747100174427
733,0.045311000198126
734,0.043598998337984
735,0.0424610003829
736,0.042008001357317
737,0.041618000715971
738,0.040470000356436
739,0.033668998628855
740,0.017187999561429
741,-0.016285000368953
742,-0.069606997072697
743,-0.14407999813557
744,-0.23227000236511
745,-0.31521001458168
746,-0.36002999544144
747,-0.32681998610497
748,-0.16759000718594
749,0.15949000418186
750,0.67975997924805
751,1.3998999595642
752,2.2969999313354
753,3.3331999778748
754,4.4548001289368
755,5.6013998985291
756,6.7108001708984
757,7.7347002029419
758,8.6337995529175
759,9.3836002349854
760,9.9624004364014
761,10.352999687195
762,10.541999816895
763,10.515999794006
764,10.274000167847
765,9.8147001266479
766,8.9273996353149
767,7.998300075531
768,7.0718998908997
769,6.1550998687744
770,5.2543997764587
771,4.4078001976013
772,3.6449999809265
773,3.2323000431061
774,2.8203001022339
775,2.4037001132965
776,2.0130000114441
777,1.3162000179291
778,1.2232999801636
779,1.1627000570297
780,1.2103999853134
